1,      won
121,    one-to-one
2,      to
2day,   today
2moro,  tomorrow
2mrw,   tomorrow
2nite,  tonight
4,      for
4U,     for you
<3,     love
@,      at
A/S/L,  age/sex/location
AFAIK,  as far as I know
AFAIR,  as far as I remember
AFK,    away from keyboard
AKA,    also known as
ASAP,   as soon as possible
ATM,    at the moment
AYT,    are you there
B,      be
b/c,    because
B2W,    back to work
B4,     before
b4,     before
B4N,    bye for now
BBL,    Be back later
BBS,    Be back soon
BBS,    be back soon
BF,     boyfriend
BFF,    best friend forever
BFN,    bye for now
BRB,    Be right back
BTW,    by the way
BYO,    bring your own
C,      see
cld,    could
CMB,    call me back
CMIIW,  correct me if I'm wrong
cos,    because
CU,     See you
CUL8R,  see you later
CUZ,    because
CWYL,   chat with you later
cya,    see ya
DC,     disconnected
DIY,    Do it yourself
DM,     Direct Message
esp.,   especially
ETA,    estimated time of arrival
F2F,    face-to-face
FAQ,    frequently asked questions
FB,     Facebook
FYEO,   for your eyes only
FYI,    for your information
GB,     goodbye
GF,     girlfriend
GG,     Gotta go
GL,     good luck
GR8,    great!
HBD,    Happy Birthday
hhhhhh, very funny
IRL,    in real life
IC,     I see
IDK,    I don't know
IIRC,   if I remember correctly
IK,     I know
IM,     Instant Message
IMHO,   in my humble opinion
IMO,    in my opinion
IOW,    in other words
J/K,    just kidding
K,      "ok,okay,okey"
L8,     late
L8R,    later
LOL,    laughing out loud
Luv,    love
M/F,    male or female
mins,   minutes
MSG,    message
msg,    message
nv,     nevermind
OIC,    "Oh,I see"
OMG,    Oh my God
OTW,    on the way
P2P,    person-to-person
PC,     politically correct
PDQ,    pretty damn quick
PLZ,    please
PM,     Private Message
POV,    point of view
ppl,    people
prob,   probably
ROFL,   rolling on floor laughing
RUOK,   Are you okay
sec,    second
shd,    should
SNAFU,  situation normal all fucked up
sum1,   someone
Sup,    What's up
SYL,    See you later
TGIF,   thank goodness it's friday
thnx,   thanks
THX,    thanks
TIA,    thanks in advance
TLC,    tender loving care
TTFN,   ta ta for now
TTYL,   Talk to you later
TYT,    Take your time
U R,    you are
u,      you
U2,     you too
ur,     your
v.,     very
w,      with
w/o,    without
w8,     wait
wld,    would
WRU,    Where are you
WTF,    what the fuck
XO,     hugs and kisses
XXX,    "kiss,kiss,kiss"
Y,      why
ZZZ,    tired
Zzzz,   bored
